state,island_destination,year,quarter,date,domestic_tourists,international_tourists,total_tourists,marine_park_visitors,hotel_occupancy_rate,avg_expenditure_myr,fish_landings_mt,is_monsoon_season,marine_water_quality_index,carrying_capacity_stress,overtourism_risk,tourist_growth_qoq
Johor,Mersing Islands (Rawa/Aur),2019,Q1,2019-01-01,2865732,334069,3199801,724072,57.9,665.86,2834,0,60.0,100.0,Critical,0.0
Johor,Mersing Islands (Rawa/Aur),2019,Q2,2019-04-01,3877721,432654,4310375,933626,69.7,881.42,2772,0,60.0,100.0,Critical,34.71
Johor,Mersing Islands (Rawa/Aur),2019,Q3,2019-07-01,3918651,396747,4315398,970457,74.2,864.7,2735,0,60.0,100.0,Critical,0.12
Johor,Mersing Islands (Rawa/Aur),2019,Q4,2019-10-01,3079618,332056,3411674,767332,54.5,670.06,2889,0,60.0,100.0,Critical,-20.94
Johor,Mersing Islands (Rawa/Aur),2020,Q1,2020-01-01,992502,109058,1101560,239475,25.0,724.2,2888,0,74.3,44.3,Moderate,-67.71
Johor,Mersing Islands (Rawa/Aur),2020,Q2,2020-04-01,1223632,134066,1357698,293806,26.9,916.1,3010,0,71.0,52.2,Moderate,23.25
Johor,Mersing Islands (Rawa/Aur),2020,Q3,2020-07-01,1203129,133727,1336856,297941,25.0,931.0,2803,0,70.3,51.9,Moderate,-1.54
Johor,Mersing Islands (Rawa/Aur),2020,Q4,2020-10-01,989058,96871,1085929,233844,25.0,697.69,2820,0,73.4,43.9,Moderate,-18.77
Johor,Mersing Islands (Rawa/Aur),2021,Q1,2021-01-01,1336139,153594,1489733,319602,25.6,720.05,2963,0,70.7,54.7,Moderate,37.19
Johor,Mersing Islands (Rawa/Aur),2021,Q2,2021-04-01,1862455,209279,2071734,457941,34.1,958.67,2832,0,62.2,76.3,Critical,39.07
Johor,Mersing Islands (Rawa/Aur),2021,Q3,2021-07-01,1706038,205510,1911548,428614,33.9,937.87,2915,0,64.0,72.5,High,-7.73
Johor,Mersing Islands (Rawa/Aur),2021,Q4,2021-10-01,1427681,158543,1586224,350731,27.6,753.0,2954,0,68.5,59.6,Moderate,-17.02
Johor,Mersing Islands (Rawa/Aur),2022,Q1,2022-01-01,2324205,266306,2590511,578883,43.8,746.38,3011,0,60.0,95.2,Critical,63.31
Johor,Mersing Islands (Rawa/Aur),2022,Q2,2022-04-01,2960975,320260,3281235,717591,53.6,1006.25,2930,0,60.0,100.0,Critical,26.66
Johor,Mersing Islands (Rawa/Aur),2022,Q3,2022-07-01,2987522,325264,3312786,714579,54.8,982.32,2842,0,60.0,100.0,Critical,0.96
Johor,Mersing Islands (Rawa/Aur),2022,Q4,2022-10-01,2279195,264705,2543900,568006,45.1,744.33,2838,0,60.0,94.6,Critical,-23.21
Johor,Mersing Islands (Rawa/Aur),2023,Q1,2023-01-01,2746215,286901,3033116,686823,55.8,785.1,2734,0,60.0,100.0,Critical,19.23
Johor,Mersing Islands (Rawa/Aur),2023,Q2,2023-04-01,3478501,369960,3848461,829737,71.4,1030.23,2924,0,60.0,100.0,Critical,26.88
Johor,Mersing Islands (Rawa/Aur),2023,Q3,2023-07-01,3574461,415583,3990044,882716,70.6,1026.72,3001,0,60.0,100.0,Critical,3.68
Johor,Mersing Islands (Rawa/Aur),2023,Q4,2023-10-01,2678800,313578,2992378,670331,55.1,804.43,2839,0,60.0,100.0,Critical,-25.0
Johor,Mersing Islands (Rawa/Aur),2024,Q1,2024-01-01,2894655,345025,3239680,717553,52.2,824.51,2894,0,60.0,100.0,Critical,8.26
Johor,Mersing Islands (Rawa/Aur),2024,Q2,2024-04-01,3974316,414309,4388625,980185,73.8,1062.7,3055,0,60.0,100.0,Critical,35.46
Johor,Mersing Islands (Rawa/Aur),2024,Q3,2024-07-01,3741583,420793,4162376,914798,74.7,1069.91,3057,0,60.0,100.0,Critical,-5.16
Johor,Mersing Islands (Rawa/Aur),2024,Q4,2024-10-01,3026631,317763,3344394,721552,55.3,822.93,3062,0,60.0,100.0,Critical,-19.65
Kedah,Pulau Langkawi & Payar,2019,Q1,2019-01-01,1472761,248580,1721341,853110,55.4,668.44,14138,0,60.0,100.0,Critical,0.0
Kedah,Pulau Langkawi & Payar,2019,Q2,2019-04-01,1809231,323590,2132821,1087770,73.7,898.64,13319,0,60.0,100.0,Critical,23.9
Kedah,Pulau Langkawi & Payar,2019,Q3,2019-07-01,1770210,330917,2101127,1028855,69.0,880.07,13443,0,60.0,100.0,Critical,-1.49
Kedah,Pulau Langkawi & Payar,2019,Q4,2019-10-01,1390728,234213,1624941,826802,57.3,675.86,14069,0,60.0,100.0,Critical,-22.66
Kedah,Pulau Langkawi & Payar,2020,Q1,2020-01-01,480693,76258,556951,272558,25.0,705.34,14029,0,72.9,48.5,Moderate,-65.72
Kedah,Pulau Langkawi & Payar,2020,Q2,2020-04-01,579375,103797,683172,332005,25.0,931.66,14054,0,68.5,56.3,Moderate,22.66
Kedah,Pulau Langkawi & Payar,2020,Q3,2020-07-01,600573,105121,705694,360862,27.0,919.92,13130,0,67.4,60.8,High,3.3
Kedah,Pulau Langkawi & Payar,2020,Q4,2020-10-01,466477,80768,547245,266234,25.0,688.4,12694,0,70.9,48.1,Moderate,-22.45
Kedah,Pulau Langkawi & Payar,2021,Q1,2021-01-01,647527,112840,760367,380059,29.0,744.12,14067,0,65.9,64.2,High,38.94
Kedah,Pulau Langkawi & Payar,2021,Q2,2021-04-01,894112,143476,1037588,510595,33.2,966.78,14029,0,60.0,82.5,Critical,36.46
Kedah,Pulau Langkawi & Payar,2021,Q3,2021-07-01,849293,138749,988042,492469,30.0,971.1,13982,0,60.0,79.0,Critical,-4.78
Kedah,Pulau Langkawi & Payar,2021,Q4,2021-10-01,661504,106127,767631,381365,27.2,729.54,13066,0,66.4,63.5,High,-22.31
Kedah,Pulau Langkawi & Payar,2022,Q1,2022-01-01,1087518,210941,1298459,649125,44.9,761.14,13833,0,60.0,100.0,Critical,69.15
Kedah,Pulau Langkawi & Payar,2022,Q2,2022-04-01,1389286,269620,1658906,816110,55.7,1010.06,13969,0,60.0,100.0,Critical,27.76
Kedah,Pulau Langkawi & Payar,2022,Q3,2022-07-01,1491919,260652,1752571,861420,54.5,978.21,13672,0,60.0,100.0,Critical,5.65
Kedah,Pulau Langkawi & Payar,2022,Q4,2022-10-01,1082193,193537,1275730,621318,42.6,750.63,13741,0,60.0,99.7,Critical,-27.21
Kedah,Pulau Langkawi & Payar,2023,Q1,2023-01-01,1335063,244093,1579156,768863,49.2,796.48,13314,0,60.0,100.0,Critical,23.78
Kedah,Pulau Langkawi & Payar,2023,Q2,2023-04-01,1650934,319885,1970819,994539,68.7,1042.78,13854,0,60.0,100.0,Critical,24.8
Kedah,Pulau Langkawi & Payar,2023,Q3,2023-07-01,1771120,284497,2055617,1025520,71.2,1015.45,13345,0,60.0,100.0,Critical,4.3
Kedah,Pulau Langkawi & Payar,2023,Q4,2023-10-01,1270517,247594,1518111,740089,51.2,790.24,13559,0,60.0,100.0,Critical,-26.15
Kedah,Pulau Langkawi & Payar,2024,Q1,2024-01-01,1450111,238897,1689008,825373,53.8,805.93,12932,0,60.0,100.0,Critical,11.26
Kedah,Pulau Langkawi & Payar,2024,Q2,2024-04-01,1948498,321809,2270307,1141552,72.8,1071.83,13265,0,60.0,100.0,Critical,34.42
Kedah,Pulau Langkawi & Payar,2024,Q3,2024-07-01,1828991,339449,2168440,1065192,76.1,1063.56,12922,0,60.0,100.0,Critical,-4.49
Kedah,Pulau Langkawi & Payar,2024,Q4,2024-10-01,1488418,266020,1754438,889324,55.2,829.67,12591,0,60.0,100.0,Critical,-19.09
Melaka,Pulau Besar,2019,Q1,2019-01-01,968695,211306,1180001,121282,56.5,695.82,189,0,79.1,43.8,Moderate,0.0
Melaka,Pulau Besar,2019,Q2,2019-04-01,1164316,302227,1466543,150541,70.0,878.37,188,0,77.8,53.5,Moderate,24.28
Melaka,Pulau Besar,2019,Q3,2019-07-01,1265342,318015,1583357,158356,74.3,867.92,189,0,77.8,56.3,Moderate,7.97
Melaka,Pulau Besar,2019,Q4,2019-10-01,888529,212706,1101235,113015,53.5,690.18,195,0,80.6,41.1,Moderate,-30.45
