state,total_visitors_2023_thousands,day_trippers_2023_thousands,overnight_tourists_2023_thousands,total_visitors_2022_thousands,day_trippers_2022_thousands,overnight_tourists_2022_thousands,fish_landings_2023_mt,cpi_overall_2023
Johor,15804.89,6881.889,8923.001,12376.202,6122.386,6253.816,49824,133.78333333333333
Kedah,13444.055,6991.628,6452.427,11186.197,5591.595,5594.602,141312,125.56666666666666
Kelantan,7549.37,3463.583,4085.787,6627.155,3082.389,3544.766,60032,128.0
Melaka,15558.661,10567.532,4991.129,11757.166,7197.842,4559.324,1993,127.15833333333335
Negeri Sembilan,14959.47,10704.02,4255.45,11490.144,7729.324,3760.82,503,129.46666666666667
Pahang,16455.567,7918.459,8537.108,13188.959,5394.846,7794.113,116204,128.01666666666668
Perak,17107.518,9604.127,7503.391,14566.727,7700.207,6866.52,335943,126.36666666666667
Perlis,1950.771,1214.78,735.991,1669.175,958.184,710.991,34063,122.75
Pulau Pinang,13127.587,9057.888,4069.699,10002.735,6518.506,3484.229,38227,131.81666666666666
Sabah,16080.074,10304.936,5775.138,12589.005,8765.959,3823.046,212787,120.76666666666667
Sarawak,17901.19,12576.562,5324.628,15464.621,11475.742,3988.879,94341,124.53333333333335
Selangor,27579.478,19123.796,8455.682,21989.558,15600.774,6388.784,120593,135.85
Terengganu,11760.516,7700.509,4060.007,10233.282,6543.939,3689.343,45701,125.38333333333333
W.P. Labuan,331.36,167.255,164.105,243.695,132.037,111.658,18762,122.51666666666667
