state,destination_name,rank
Johor,Paradigm Mall Johor Bahru,1
Johor,Pantai Desaru,2
Johor,Toppen Shopping Centre,3
Johor,"The Mall, Mid Valley Southkey",4
Johor,Legoland Malaysia,5
Kedah,Pantai Cenang,1
Kedah,Aman Central Mall,2
Kedah,Langkawi Cable Car,3
Kedah,National Art Gallery,4
Kedah,Pantai Merdeka,5
Kelantan,AEON Lembah Sireh,1
Kelantan,Pasar Siti Khadijah,2
Kelantan,KB Mall,3
Kelantan,Pantai Irama,4
Kelantan,Zon Bebas Cukai Rantau Panjang,5
Melaka,Pantai Klebang,1
Melaka,Dataran Pahlawan,2
Melaka,Mahkota Parade,3
Melaka,Jonker Street/ Jalan Hang Jebat,4
Melaka,Pantai Pengkalan Balak,5
Negeri Sembilan,Pantai Port Dickson,1
Negeri Sembilan,Palm Mall Seremban,2
Negeri Sembilan,Pantai Teluk Kemang,3
Negeri Sembilan,City Park Seremban 2,4
Negeri Sembilan,Pantai Cahaya Negeri,5
Pahang,East Cost Mall (ECM),1
Pahang,Kuantan City Mall,2
Pahang,Genting Highlands,3
Pahang,Cameron Highlands,4
Pahang,Pantai Teluk Cempedak,5
Perak,Pulau Pangkor,1
Perak,Lost World of Tambun,2
Perak,Teluk Batik,3
Perak,Ipoh Parade Shopping Centre,4
Perak,Lumut Waterfront,5
Perlis,Arked Niaga Padang Besar,1
Perlis,Tasik Timah Tasoh,2
Perlis,Pantai Peranginan Sg. Berembang,3
Perlis,Hutan Lipur Bukit Ayer,4
Perlis,Padang Waremart,5
Pulau Pinang,Queensbay Mall,1
Pulau Pinang,Gurney Paragon Mall,2
Pulau Pinang,Pantai Batu Ferringhi,3
Pulau Pinang,1st Avenue Mall,4
Pulau Pinang,Bukit Bendera,5
Sabah,Imago Shopping Mall,1
Sabah,Pekan Kundasang & Pekan Nabalu,2
Sabah,Pantai Tanjung Aru,3
Sabah,Ladang Lembu Tenusu/ Desa Dairy Farm,4
Sabah,Centre Point Sabah,5
Sarawak,Daesco Star Mega Mall,1
Sarawak,Pasar Sentral Sibu,2
Sarawak,The Spring Mall Bintulu,3
Sarawak,AEON MALL Kuching Central,4
Sarawak,Vivacity Megamall,5
Selangor,IOI City Mall,1
Selangor,Sunway Pyramid Shopping Mall,2
Selangor,IKEA Damansara,3
Selangor,GM Klang Wholesale City,4
Selangor,"i-City, Shah Alam",5
Terengganu,KTCC Mall,1
Terengganu,Pantai Miami Terengganu,2
Terengganu,Pantai Batu Buruk,3
Terengganu,Pasar Besar Kedai Payang,4
Terengganu,Pulau Warisan (i-City Terengganu),5
W.P. Kuala Lumpur,Mid Valley Megamall,1
W.P. Kuala Lumpur,Pavilion Kuala Lumpur,2
W.P. Kuala Lumpur,SOGO,3
W.P. Kuala Lumpur,Suria KLCC,4
W.P. Kuala Lumpur,Berjaya Times Square,5
W.P. Labuan,Kampung Patau-Patau,1
W.P. Labuan,Pantai Layang-layang,2
W.P. Labuan,Kompleks Sukan Laut Antarabangsa Labuan,3
W.P. Labuan,Pantai Pohon Batu,4
W.P. Labuan,Kompleks Ujang Kewangan,5
W.P. Putrajaya,Alamanda Shopping Centre,1
W.P. Putrajaya,Dataran Putrajaya,2
W.P. Putrajaya,Cruise Tasik Putrajaya,3
W.P. Putrajaya,Putrajaya International Convention Centre (PICC),4
W.P. Putrajaya,Taman Wetland,5
