state,component,value
Johor,Jenis Penginapan                                                                                                                 Type of Accommodation,2022.0
Kedah,Jenis Penginapan                                                                                                                 Type of Accommodation,2022.0
Kelantan,Jenis Penginapan                                                                                                                 Type of Accommodation,2022.0
Melaka,Jenis Penginapan                                                                                                                 Type of Accommodation,2022.0
Negeri Sembilan,Jenis Penginapan                                                                                                                 Type of Accommodation,2022.0
Pahang,Jenis Penginapan                                                                                                                 Type of Accommodation,2022.0
Perak,Jenis Penginapan                                                                                                                 Type of Accommodation,2022.0
Perlis,Jenis Penginapan                                                                                                                 Type of Accommodation,2022.0
Pulau Pinang,Jenis Penginapan                                                                                                                 Type of Accommodation,2022.0
Sabah,Jenis Penginapan                                                                                                                 Type of Accommodation,2022.0
Sarawak,Jenis Penginapan                                                                                                                 Type of Accommodation,2022.0
Selangor,Jenis Penginapan                                                                                                                 Type of Accommodation,2022.0
Terengganu,Jenis Penginapan                                                                                                                 Type of Accommodation,2022.0
W.P. Kuala Lumpur,Jenis Penginapan                                                                                                                 Type of Accommodation,2022.0
W.P. Labuan,Jenis Penginapan                                                                                                                 Type of Accommodation,2022.0
W.P. Putrajaya,Jenis Penginapan                                                                                                                 Type of Accommodation,2022.0
