state,total_visitors_2023_thousands,day_trippers_2023_thousands,overnight_tourists_2023_thousands,total_visitors_2022_thousands,day_trippers_2022_thousands,overnight_tourists_2022_thousands
Johor,15804.89,6881.889,8923.001,12376.202,6122.386,6253.816
Kedah,13444.055,6991.628,6452.427,11186.197,5591.595,5594.602
Kelantan,7549.37,3463.583,4085.787,6627.155,3082.389,3544.766
Melaka,15558.661,10567.532,4991.129,11757.166,7197.842,4559.324
Negeri Sembilan,14959.47,10704.02,4255.45,11490.144,7729.324,3760.82
Pahang,16455.567,7918.459,8537.108,13188.959,5394.846,7794.113
Perak,17107.518,9604.127,7503.391,14566.727,7700.207,6866.52
Perlis,1950.771,1214.78,735.991,1669.175,958.184,710.991
Pulau Pinang,13127.587,9057.888,4069.699,10002.735,6518.506,3484.229
Sabah,16080.074,10304.936,5775.138,12589.005,8765.959,3823.046
Sarawak,17901.19,12576.562,5324.628,15464.621,11475.742,3988.879
Selangor,27579.478,19123.796,8455.682,21989.558,15600.774,6388.784
Terengganu,11760.516,7700.509,4060.007,10233.282,6543.939,3689.343
W.P. Kuala Lumpur,22232.643,16507.854,5724.789,16912.534,12795.439,4117.095
W.P. Labuan,331.36,167.255,164.105,243.695,132.037,111.658
W.P. Putrajaya,1900.379,1399.291,501.088,1305.808,937.819,367.989
