date,index,state,division
2010-01-01,99.4,Johor,overall
2010-02-01,99.4,Johor,overall
2010-03-01,99.4,Johor,overall
2010-04-01,99.4,Johor,overall
2010-05-01,99.6,Johor,overall
2010-06-01,99.8,Johor,overall
2010-07-01,100.1,Johor,overall
2010-08-01,100.3,Johor,overall
2010-09-01,100.3,Johor,overall
2010-10-01,100.5,Johor,overall
2010-11-01,100.8,Johor,overall
2010-12-01,101.1,Johor,overall
2011-01-01,101.7,Johor,overall
2011-02-01,102.4,Johor,overall
2011-03-01,102.3,Johor,overall
2011-04-01,102.5,Johor,overall
2011-05-01,102.8,Johor,overall
2011-06-01,103.3,Johor,overall
2011-07-01,103.6,Johor,overall
2011-08-01,103.7,Johor,overall
2011-09-01,103.9,Johor,overall
2011-10-01,104.2,Johor,overall
2011-11-01,104.2,Johor,overall
2011-12-01,104.4,Johor,overall
2012-01-01,105.0,Johor,overall
2012-02-01,104.7,Johor,overall
2012-03-01,104.5,Johor,overall
2012-04-01,104.5,Johor,overall
2012-05-01,104.9,Johor,overall
2012-06-01,105.1,Johor,overall
2012-07-01,105.1,Johor,overall
2012-08-01,105.4,Johor,overall
2012-09-01,105.6,Johor,overall
2012-10-01,105.6,Johor,overall
2012-11-01,105.8,Johor,overall
2012-12-01,105.9,Johor,overall
2013-01-01,106.5,Johor,overall
2013-02-01,106.7,Johor,overall
2013-03-01,106.7,Johor,overall
2013-04-01,106.6,Johor,overall
2013-05-01,106.9,Johor,overall
2013-06-01,107.1,Johor,overall
2013-07-01,107.4,Johor,overall
2013-08-01,107.6,Johor,overall
2013-09-01,108.7,Johor,overall
2013-10-01,109.3,Johor,overall
2013-11-01,109.5,Johor,overall
2013-12-01,110.0,Johor,overall
2014-01-01,110.5,Johor,overall
2014-02-01,110.7,Johor,overall
2014-03-01,110.8,Johor,overall
2014-04-01,110.9,Johor,overall
2014-05-01,111.0,Johor,overall
2014-06-01,111.2,Johor,overall
2014-07-01,111.4,Johor,overall
2014-08-01,111.8,Johor,overall
2014-09-01,112.0,Johor,overall
2014-10-01,112.7,Johor,overall
2014-11-01,113.4,Johor,overall
2014-12-01,113.3,Johor,overall
2015-01-01,112.2,Johor,overall
2015-02-01,111.1,Johor,overall
2015-03-01,112.3,Johor,overall
2015-04-01,113.6,Johor,overall
2015-05-01,114.0,Johor,overall
2015-06-01,114.9,Johor,overall
2015-07-01,115.9,Johor,overall
2015-08-01,116.3,Johor,overall
2015-09-01,115.9,Johor,overall
2015-10-01,116.5,Johor,overall
2015-11-01,117.5,Johor,overall
2015-12-01,117.6,Johor,overall
2016-01-01,117.4,Johor,overall
2016-02-01,117.2,Johor,overall
2016-03-01,116.5,Johor,overall
2016-04-01,117.1,Johor,overall
2016-05-01,117.4,Johor,overall
2016-06-01,117.6,Johor,overall
2016-07-01,118.1,Johor,overall
2016-08-01,118.5,Johor,overall
2016-09-01,118.2,Johor,overall
2016-10-01,118.5,Johor,overall
2016-11-01,119.7,Johor,overall
2016-12-01,119.7,Johor,overall
2017-01-01,121.4,Johor,overall
2017-02-01,123.2,Johor,overall
2017-03-01,123.0,Johor,overall
2017-04-01,122.8,Johor,overall
2017-05-01,122.3,Johor,overall
2017-06-01,122.2,Johor,overall
2017-07-01,122.1,Johor,overall
2017-08-01,123.3,Johor,overall
2017-09-01,123.7,Johor,overall
2017-10-01,123.5,Johor,overall
2017-11-01,124.3,Johor,overall
2017-12-01,124.5,Johor,overall
