date,coast,state,landings
2018-01-01,all,Malaysia,97405
2018-02-01,all,Malaysia,97467
2018-03-01,all,Malaysia,117813
2018-04-01,all,Malaysia,127202
2018-05-01,all,Malaysia,129453
2018-06-01,all,Malaysia,128464
2018-07-01,all,Malaysia,132056
2018-08-01,all,Malaysia,132023
2018-09-01,all,Malaysia,132223
2018-10-01,all,Malaysia,131884
2018-11-01,all,Malaysia,120240
2018-12-01,all,Malaysia,106543
2019-01-01,all,Malaysia,100462
2019-02-01,all,Malaysia,104522
2019-03-01,all,Malaysia,125360
2019-04-01,all,Malaysia,131565
2019-05-01,all,Malaysia,129754
2019-06-01,all,Malaysia,125809
2019-07-01,all,Malaysia,126728
2019-08-01,all,Malaysia,125668
2019-09-01,all,Malaysia,132718
2019-10-01,all,Malaysia,133859
2019-11-01,all,Malaysia,122082
2019-12-01,all,Malaysia,96825
2020-01-01,all,Malaysia,99867
2020-02-01,all,Malaysia,121782
2020-03-01,all,Malaysia,111214
2020-04-01,all,Malaysia,104408
2020-05-01,all,Malaysia,108295
2020-06-01,all,Malaysia,124092
2020-07-01,all,Malaysia,122060
2020-08-01,all,Malaysia,126611
2020-09-01,all,Malaysia,123311
2020-10-01,all,Malaysia,123181
2020-11-01,all,Malaysia,116856
2020-12-01,all,Malaysia,101625
2021-01-01,all,Malaysia,90179
2021-02-01,all,Malaysia,92061
2021-03-01,all,Malaysia,115532
2021-04-01,all,Malaysia,121013
2021-05-01,all,Malaysia,116078
2021-06-01,all,Malaysia,114944
2021-07-01,all,Malaysia,124343
2021-08-01,all,Malaysia,125226
2021-09-01,all,Malaysia,116715
2021-10-01,all,Malaysia,117695
2021-11-01,all,Malaysia,103996
2021-12-01,all,Malaysia,90170
2022-01-01,all,Malaysia,91102
2022-02-01,all,Malaysia,98025
2022-03-01,all,Malaysia,117950
2022-04-01,all,Malaysia,127996
2022-05-01,all,Malaysia,114772
2022-06-01,all,Malaysia,115104
2022-07-01,all,Malaysia,119858
2022-08-01,all,Malaysia,120914
2022-09-01,all,Malaysia,111056
2022-10-01,all,Malaysia,108029
2022-11-01,all,Malaysia,97884
2022-12-01,all,Malaysia,85726
2023-01-01,all,Malaysia,80422
2023-02-01,all,Malaysia,85853
2023-03-01,all,Malaysia,100296
2023-04-01,all,Malaysia,106361
2023-05-01,all,Malaysia,112338
2023-06-01,all,Malaysia,115663
2023-07-01,all,Malaysia,120006
2023-08-01,all,Malaysia,111734
2023-09-01,all,Malaysia,113007
2023-10-01,all,Malaysia,119579
2023-11-01,all,Malaysia,114726
2023-12-01,all,Malaysia,90300
2018-01-01,east,All States,16564
2018-02-01,east,All States,17149
2018-03-01,east,All States,21870
2018-04-01,east,All States,28292
2018-05-01,east,All States,28163
2018-06-01,east,All States,29412
2018-07-01,east,All States,26357
2018-08-01,east,All States,26735
2018-09-01,east,All States,31496
2018-10-01,east,All States,33155
2018-11-01,east,All States,25049
2018-12-01,east,All States,17873
2019-01-01,east,All States,14858
2019-02-01,east,All States,17316
2019-03-01,east,All States,25939
2019-04-01,east,All States,27381
2019-05-01,east,All States,24960
2019-06-01,east,All States,23635
2019-07-01,east,All States,24643
2019-08-01,east,All States,23004
2019-09-01,east,All States,28859
2019-10-01,east,All States,29108
2019-11-01,east,All States,20218
2019-12-01,east,All States,8201
2020-01-01,east,All States,10751
2020-02-01,east,All States,14874
2020-03-01,east,All States,24572
2020-04-01,east,All States,26362
2020-05-01,east,All States,24137
2020-06-01,east,All States,23734
2020-07-01,east,All States,22533
2020-08-01,east,All States,29841
2020-09-01,east,All States,28919
2020-10-01,east,All States,26364
2020-11-01,east,All States,15914
2020-12-01,east,All States,9281
2021-01-01,east,All States,7235
2021-02-01,east,All States,12747
2021-03-01,east,All States,15834
2021-04-01,east,All States,20347
2021-05-01,east,All States,18636
2021-06-01,east,All States,19600
2021-07-01,east,All States,21293
2021-08-01,east,All States,22889
2021-09-01,east,All States,24240
2021-10-01,east,All States,23007
2021-11-01,east,All States,13319
2021-12-01,east,All States,8872
2022-01-01,east,All States,10225
2022-02-01,east,All States,13300
2022-03-01,east,All States,17563
2022-04-01,east,All States,22757
2022-05-01,east,All States,22810
2022-06-01,east,All States,20895
2022-07-01,east,All States,21808
2022-08-01,east,All States,22608
2022-09-01,east,All States,23236
2022-10-01,east,All States,23342
2022-11-01,east,All States,18540
2022-12-01,east,All States,10287
2023-01-01,east,All States,8944
2023-02-01,east,All States,12543
2023-03-01,east,All States,18079
2023-04-01,east,All States,24129
2023-05-01,east,All States,22860
2023-06-01,east,All States,23945
2023-07-01,east,All States,25164
2023-08-01,east,All States,22934
2023-09-01,east,All States,26439
2023-10-01,east,All States,28408
2023-11-01,east,All States,18737
2023-12-01,east,All States,9929
2018-01-01,west,All States,58199
2018-02-01,west,All States,56607
2018-03-01,west,All States,61276
2018-04-01,west,All States,64012
2018-05-01,west,All States,67884
2018-06-01,west,All States,66930
2018-07-01,west,All States,71930
2018-08-01,west,All States,72863
2018-09-01,west,All States,69640
2018-10-01,west,All States,68071
2018-11-01,west,All States,66729
2018-12-01,west,All States,63548
2019-01-01,west,All States,62018
2019-02-01,west,All States,61554
2019-03-01,west,All States,65858
2019-04-01,west,All States,66550
2019-05-01,west,All States,68042
2019-06-01,west,All States,68967
2019-07-01,west,All States,69511
2019-08-01,west,All States,69358
2019-09-01,west,All States,72608
2019-10-01,west,All States,74902
2019-11-01,west,All States,72550
2019-12-01,west,All States,63844
2020-01-01,west,All States,64392
2020-02-01,west,All States,79240
2020-03-01,west,All States,57812
2020-04-01,west,All States,50356
2020-05-01,west,All States,53548
2020-06-01,west,All States,67128
2020-07-01,west,All States,66800
2020-08-01,west,All States,64605
2020-09-01,west,All States,64441
2020-10-01,west,All States,70037
2020-11-01,west,All States,73049
2020-12-01,west,All States,65959
2021-01-01,west,All States,61320
2021-02-01,west,All States,56442
2021-03-01,west,All States,59977
2021-04-01,west,All States,61719
2021-05-01,west,All States,60884
2021-06-01,west,All States,61231
2021-07-01,west,All States,66608
2021-08-01,west,All States,64164
2021-09-01,west,All States,64283
2021-10-01,west,All States,66390
2021-11-01,west,All States,65878
2021-12-01,west,All States,58120
2022-01-01,west,All States,58335
2022-02-01,west,All States,60528
2022-03-01,west,All States,63762
2022-04-01,west,All States,66129
2022-05-01,west,All States,55521
2022-06-01,west,All States,64459
2022-07-01,west,All States,67507
2022-08-01,west,All States,66701
2022-09-01,west,All States,59742
2022-10-01,west,All States,57370
2022-11-01,west,All States,54266
2022-12-01,west,All States,54303
2023-01-01,west,All States,52007
2023-02-01,west,All States,53916
2023-03-01,west,All States,53228
2023-04-01,west,All States,52783
2023-05-01,west,All States,57875
2023-06-01,west,All States,61066
2023-07-01,west,All States,62614
2023-08-01,west,All States,60585
2023-09-01,west,All States,58663
2023-10-01,west,All States,62969
2023-11-01,west,All States,69296
2023-12-01,west,All States,57282
2018-01-01,borneo,All States,22642
2018-02-01,borneo,All States,23711
2018-03-01,borneo,All States,34667
2018-04-01,borneo,All States,34898
2018-05-01,borneo,All States,33406
2018-06-01,borneo,All States,32122
2018-07-01,borneo,All States,33769
2018-08-01,borneo,All States,32425
2018-09-01,borneo,All States,31087
2018-10-01,borneo,All States,30658
2018-11-01,borneo,All States,28462
2018-12-01,borneo,All States,25122
2019-01-01,borneo,All States,23586
2019-02-01,borneo,All States,25652
2019-03-01,borneo,All States,33563
2019-04-01,borneo,All States,37634
2019-05-01,borneo,All States,36752
2019-06-01,borneo,All States,33207
2019-07-01,borneo,All States,32574
2019-08-01,borneo,All States,33306
2019-09-01,borneo,All States,31251
2019-10-01,borneo,All States,29849
2019-11-01,borneo,All States,29314
2019-12-01,borneo,All States,24780
2020-01-01,borneo,All States,24724
2020-02-01,borneo,All States,27668
2020-03-01,borneo,All States,28830
2020-04-01,borneo,All States,27690
2020-05-01,borneo,All States,30610
2020-06-01,borneo,All States,33230
2020-07-01,borneo,All States,32727
2020-08-01,borneo,All States,32165
2020-09-01,borneo,All States,29951
2020-10-01,borneo,All States,26780
2020-11-01,borneo,All States,27893
2020-12-01,borneo,All States,26385
2021-01-01,borneo,All States,21624
2021-02-01,borneo,All States,22872
2021-03-01,borneo,All States,39721
2021-04-01,borneo,All States,38947
2021-05-01,borneo,All States,36558
2021-06-01,borneo,All States,34113
2021-07-01,borneo,All States,36442
2021-08-01,borneo,All States,38173
2021-09-01,borneo,All States,28192
2021-10-01,borneo,All States,28298
2021-11-01,borneo,All States,24799
2021-12-01,borneo,All States,23178
2022-01-01,borneo,All States,22542
2022-02-01,borneo,All States,24197
2022-03-01,borneo,All States,36625
2022-04-01,borneo,All States,39110
2022-05-01,borneo,All States,36441
2022-06-01,borneo,All States,29750
2022-07-01,borneo,All States,30543
2022-08-01,borneo,All States,31605
2022-09-01,borneo,All States,28078
2022-10-01,borneo,All States,27317
2022-11-01,borneo,All States,25078
2022-12-01,borneo,All States,21136
2023-01-01,borneo,All States,19471
