state,zone,species_category,port,landing_tonnes,active_vessels,fuel_subsidy_myr,cpi_fish_index,sustainability_index,date
Selangor,Zone C,Pelagic,Port Klang,18500,120,450000,122.4,84.5,2026-02-01
Selangor,Zone C2,Demersal,Port Klang,14200,95,380000,122.8,81.2,2026-02-02
Johor,Zone B,Crustaceans,Tanjung Pelepas,12800,85,310000,121.5,86.0,2026-02-01
Johor,Zone C,Pelagic,Tanjung Pelepas,16400,110,410000,121.9,83.4,2026-02-03
Penang,Zone A,Demersal,Penang Port,9400,65,220000,123.1,88.2,2026-02-02
Perak,Zone B,Molluscs,Lumut Port,8100,55,190000,120.8,85.1,2026-02-04
Pahang,Zone C2,Pelagic,Kuantan Port,15300,105,395000,119.5,82.0,2026-02-03
Terengganu,Deep Sea,Pelagic,Kemaman Base,21500,140,520000,118.9,79.5,2026-02-04
Sabah,Zone C,Crustaceans,Sandakan Base,19800,130,480000,117.8,80.4,2026-02-05
Sarawak,Deep Sea,Demersal,Bintulu Port,17600,115,440000,118.2,81.7,2026-02-05
