state,year,median_income,unemployment_rate,cpi,poverty_rate,gini_coefficient,digital_adoption_index,population_millions
Selangor,2019,8210,2.9,120.5,0.4,0.362,78.5,6.54
Selangor,2020,7890,4.2,119.2,0.7,0.368,82.1,6.56
Selangor,2021,8100,3.9,122.1,0.6,0.365,86.0,6.60
Selangor,2022,8650,3.2,126.3,0.4,0.360,89.4,6.65
Selangor,2023,9120,2.8,129.5,0.3,0.355,92.0,6.71
Johor,2019,6422,3.1,120.1,1.5,0.375,71.2,3.75
Johor,2020,6100,4.4,118.9,2.1,0.381,75.0,3.77
Johor,2021,6320,4.0,121.8,1.8,0.378,79.5,3.80
Johor,2022,6800,3.4,125.7,1.4,0.372,83.0,3.84
Johor,2023,7210,3.0,128.9,1.1,0.367,86.2,3.89
Penang,2019,6169,2.7,121.0,0.8,0.350,76.4,1.74
Penang,2020,5950,3.8,119.8,1.2,0.355,80.1,1.75
Penang,2021,6250,3.5,122.9,0.9,0.352,84.7,1.76
Penang,2022,6720,3.0,127.0,0.7,0.348,88.2,1.78
Penang,2023,7150,2.6,130.1,0.5,0.342,91.0,1.80
Perak,2019,4273,3.4,119.5,4.0,0.388,64.5,2.51
Perak,2020,4050,4.6,118.4,5.1,0.394,68.0,2.52
Perak,2021,4180,4.2,121.2,4.6,0.390,72.4,2.53
Perak,2022,4510,3.6,125.0,3.8,0.385,76.1,2.54
Perak,2023,4850,3.2,128.2,3.2,0.380,79.5,2.56
Sabah,2019,4235,5.8,118.2,19.5,0.410,55.0,3.42
Sabah,2020,3970,8.0,117.0,22.1,0.420,59.2,3.43
Sabah,2021,4090,7.5,119.8,20.8,0.415,63.5,3.44
Sabah,2022,4420,6.5,123.5,18.2,0.408,67.1,3.45
Sabah,2023,4780,5.6,126.8,16.4,0.401,71.0,3.47
Sarawak,2019,4544,3.1,118.8,9.0,0.395,62.0,2.45
Sarawak,2020,4280,4.3,117.6,10.8,0.402,66.1,2.46
Sarawak,2021,4450,4.0,120.5,9.8,0.398,70.5,2.47
Sarawak,2022,4820,3.5,124.2,8.5,0.391,74.2,2.49
Sarawak,2023,5200,3.1,127.4,7.4,0.385,78.0,2.51
Kedah,2019,4325,3.3,119.0,5.8,0.382,63.0,2.18
Kedah,2020,4100,4.5,118.0,6.9,0.389,66.8,2.19
Kedah,2021,4240,4.1,120.8,6.2,0.385,71.0,2.20
Kedah,2022,4580,3.5,124.5,5.3,0.380,74.8,2.21
Kedah,2023,4920,3.1,127.8,4.5,0.374,78.2,2.22
Kelantan,2019,3563,4.0,118.5,12.4,0.392,58.0,1.88
Kelantan,2020,3380,5.2,117.5,14.5,0.400,62.1,1.89
Kelantan,2021,3510,4.8,120.1,13.2,0.396,66.0,1.90
Kelantan,2022,3820,4.1,123.8,11.5,0.390,69.8,1.92
Kelantan,2023,4120,3.7,127.0,10.1,0.384,73.4,1.93
WP Kuala Lumpur,2019,10549,2.8,122.0,0.2,0.358,88.5,1.77
WP Kuala Lumpur,2020,10120,4.1,120.8,0.5,0.364,91.2,1.78
WP Kuala Lumpur,2021,10350,3.7,123.5,0.4,0.361,94.0,1.79
WP Kuala Lumpur,2022,11100,3.1,128.0,0.3,0.355,96.5,1.80
WP Kuala Lumpur,2023,11750,2.7,131.2,0.2,0.350,98.2,1.82
