_id,Citizenship,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,G. Total
1,Singapore,4703.0,3226.0,5047.0,4557.0,4571.0,6144.0,3834.0,5593.0,5469.0,4698.0,5230.0,7688.0,60760.0
2,Australia,2471.0,1040.0,1174.0,1482.0,1307.0,1621.0,1539.0,1129.0,1470.0,1200.0,1482.0,1912.0,17827.0
3,N. Zealand,411.0,162.0,218.0,296.0,253.0,260.0,337.0,297.0,363.0,293.0,186.0,406.0,3482.0
4,Canada,636.0,593.0,726.0,723.0,757.0,444.0,498.0,465.0,474.0,462.0,484.0,598.0,6860.0
5,U. Kingdom,1865.0,1727.0,2157.0,2549.0,2085.0,2165.0,2367.0,2271.0,1647.0,1736.0,1206.0,2278.0,24053.0
6,Hong Kong,34.0,0.0,11.0,45.0,3.0,24.0,112.0,29.0,19.0,29.0,80.0,4.0,390.0
7,Sri Lanka,64.0,56.0,58.0,55.0,54.0,52.0,65.0,65.0,102.0,108.0,53.0,79.0,811.0
8,Bangladesh,74.0,92.0,131.0,150.0,115.0,97.0,191.0,243.0,191.0,119.0,123.0,140.0,1666.0
9,India,1493.0,1516.0,1904.0,2343.0,2203.0,2004.0,1734.0,1854.0,1795.0,2001.0,1678.0,3749.0,24274.0
10,Brunei,104653.0,95253.0,103832.0,133221.0,96821.0,120918.0,99057.0,94320.0,85240.0,75295.0,81700.0,212810.0,1303120.0
11,USA,630.0,631.0,766.0,643.0,825.0,867.0,872.0,810.0,673.0,274.0,552.0,309.0,7852.0
12,China,1900.0,2443.0,3257.0,3239.0,3283.0,3391.0,4636.0,5540.0,3959.0,1812.0,3490.0,2293.0,39243.0
13,Russia,130.0,162.0,243.0,173.0,129.0,96.0,111.0,94.0,115.0,63.0,127.0,88.0,1531.0
14,Latin America,58.0,41.0,49.0,54.0,65.0,84.0,98.0,114.0,77.0,59.0,58.0,50.0,807.0
15,Arabs,306.0,255.0,268.0,313.0,352.0,332.0,250.0,240.0,275.0,227.0,275.0,537.0,3630.0
16,Germany,407.0,632.0,638.0,558.0,580.0,585.0,824.0,1749.0,598.0,510.0,324.0,333.0,7738.0
17,France,153.0,250.0,353.0,357.0,363.0,465.0,845.0,902.0,262.0,247.0,224.0,163.0,4584.0
18,Nor/Swe/Den/Fin,172.0,291.0,223.0,110.0,123.0,122.0,381.0,1066.0,163.0,326.0,169.0,143.0,3289.0
19,Belg/Lux/Net,271.0,395.0,430.0,349.0,579.0,500.0,1175.0,926.0,565.0,150.0,234.0,147.0,5721.0
20,Europe,499.0,642.0,988.0,730.0,867.0,911.0,1653.0,3221.0,1134.0,438.0,669.0,359.0,12111.0
21,Philippines,2975.0,2747.0,2918.0,3690.0,3277.0,2520.0,3075.0,2772.0,2508.0,2698.0,2318.0,5257.0,36755.0
22,Thailand,753.0,656.0,752.0,748.0,835.0,667.0,722.0,734.0,678.0,677.0,650.0,789.0,8661.0
23,Taiwan,1107.0,735.0,831.0,680.0,631.0,814.0,1053.0,1137.0,929.0,753.0,650.0,771.0,10091.0
24,Indonesia,44090.0,38287.0,37941.0,48207.0,51935.0,42993.0,43138.0,37068.0,40651.0,39982.0,39910.0,62877.0,527079.0
25,Pakistan,218.0,286.0,303.0,344.0,302.0,293.0,286.0,449.0,397.0,327.0,318.0,451.0,3974.0
26,Japan ,387.0,633.0,624.0,522.0,653.0,614.0,660.0,957.0,683.0,715.0,703.0,680.0,7831.0
27,South Korea,865.0,708.0,771.0,673.0,688.0,886.0,745.0,887.0,861.0,945.0,838.0,1110.0,9977.0
28,Others,1658.0,1567.0,2014.0,2416.0,1977.0,1885.0,2105.0,3890.0,1806.0,1822.0,2020.0,2314.0,25474.0
29,T. Foreigner,172983.0,155026.0,168627.0,209227.0,175633.0,191754.0,172363.0,168822.0,153104.0,137966.0,145751.0,308335.0,2159591.0
30,Pen. M'sia,87557.0,76898.0,94653.0,90739.0,93528.0,92098.0,89107.0,92090.0,93342.0,89480.0,54228.0,96835.0,1050555.0
31,Sabah,58524.0,49049.0,60680.0,64073.0,62445.0,54164.0,50727.0,63261.0,60887.0,59051.0,58543.0,78107.0,719511.0
32,T. Domestic,146081.0,125947.0,155333.0,154812.0,155973.0,146262.0,139834.0,155351.0,154229.0,148531.0,112771.0,174942.0,1770066.0
33,Grand Total,319064.0,280973.0,323960.0,364039.0,331606.0,338016.0,312197.0,324173.0,307333.0,286497.0,258522.0,483277.0,3929657.0
34,,,,,,,,,,,,,,
