_id,Nationality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,TOTAL
1,ASIA,202950.0,225127.0,276112.0,252016.0,227132.0,252851.0,249481.0,279369.0,193460.0,170445.0,195683.0,302132.0,2826758.0
2,SOUTHEAST ASIA,191114.0,211310.0,263532.0,239945.0,214881.0,239193.0,232651.0,262527.0,181076.0,157247.0,181683.0,287730.0,2662889.0
3,Brunei,132703.0,151794.0,206973.0,167242.0,145494.0,165340.0,164141.0,198331.0,125039.0,101858.0,129022.0,203377.0,1891314.0
4,Philippines,3612.0,3997.0,3899.0,3794.0,3326.0,4167.0,3974.0,4230.0,3572.0,3482.0,3742.0,5058.0,46853.0
5,Indonesia,50619.0,48601.0,46284.0,64109.0,59872.0,62128.0,58407.0,53578.0,47918.0,47033.0,43260.0,72074.0,653883.0
6,Singapore,3437.0,6001.0,5527.0,3952.0,5261.0,6595.0,5111.0,5326.0,3555.0,3931.0,4835.0,6262.0,59793.0
7,Thailand,646.0,800.0,766.0,762.0,835.0,855.0,877.0,955.0,896.0,845.0,756.0,842.0,9835.0
8,Vietnam,97.0,117.0,83.0,86.0,93.0,108.0,141.0,107.0,96.0,98.0,68.0,117.0,1211.0
9,EAST ASIA,7764.0,9296.0,8626.0,7480.0,7762.0,8994.0,11826.0,11352.0,8178.0,9005.0,9200.0,9449.0,108932.0
10,China,4703.0,6476.0,5977.0,5142.0,5448.0,6020.0,8466.0,7528.0,5480.0,6480.0,6416.0,6585.0,74721.0
11,Hong Kong SAR,1.0,5.0,6.0,2.0,3.0,2.0,6.0,3.0,6.0,0.0,16.0,6.0,56.0
12,Japan,600.0,747.0,779.0,577.0,754.0,838.0,778.0,1035.0,789.0,778.0,758.0,757.0,9190.0
13,Taiwan,1090.0,1090.0,1040.0,895.0,714.0,993.0,1405.0,1352.0,838.0,865.0,957.0,754.0,11993.0
14,South Korea,1370.0,978.0,824.0,864.0,843.0,1141.0,1171.0,1434.0,1065.0,882.0,1053.0,1347.0,12972.0
15,SOUTH ASIA,3858.0,4190.0,3730.0,4275.0,4191.0,4372.0,4637.0,5144.0,3915.0,3875.0,4428.0,4628.0,51243.0
16,Bangladesh,162.0,222.0,170.0,191.0,211.0,302.0,198.0,300.0,339.0,343.0,353.0,352.0,3143.0
17,India,3266.0,3594.0,3154.0,3585.0,3549.0,3574.0,3962.0,4223.0,3047.0,3029.0,3524.0,3705.0,42212.0
18,Pakistan,390.0,314.0,351.0,390.0,383.0,437.0,414.0,520.0,456.0,445.0,515.0,516.0,5131.0
19,Sri Lanka,40.0,60.0,55.0,109.0,48.0,59.0,63.0,101.0,73.0,58.0,36.0,55.0,757.0
20,OTHERS - ASIA,214.0,331.0,224.0,316.0,298.0,292.0,367.0,346.0,291.0,318.0,372.0,325.0,3694.0
21,Middle East,214.0,331.0,224.0,316.0,298.0,292.0,367.0,346.0,291.0,318.0,372.0,325.0,3694.0
22,OCEANIA,2205.0,1861.0,1603.0,1625.0,1521.0,1881.0,2190.0,1815.0,1651.0,1408.0,1483.0,2527.0,21770.0
23,Australia,1856.0,1637.0,1397.0,1362.0,1217.0,1620.0,1825.0,1467.0,1394.0,1190.0,1286.0,1968.0,18219.0
24,New Zealand,349.0,224.0,206.0,263.0,304.0,261.0,365.0,348.0,257.0,218.0,197.0,559.0,3551.0
25,EUROPE,3721.0,4333.0,5532.0,5056.0,4782.0,4910.0,9554.0,10988.0,5052.0,5016.0,3900.0,3728.0,66572.0
26,Benelux Region,346.0,202.0,471.0,521.0,536.0,430.0,1525.0,1015.0,644.0,506.0,384.0,351.0,6931.0
27,France,227.0,278.0,283.0,409.0,352.0,409.0,1043.0,1013.0,406.0,347.0,215.0,264.0,5246.0
28,Germany,443.0,649.0,790.0,656.0,584.0,563.0,1063.0,1077.0,651.0,606.0,390.0,323.0,7795.0
29,Russia,131.0,179.0,108.0,120.0,85.0,115.0,125.0,200.0,111.0,110.0,93.0,136.0,1513.0
30,Scandinavia Region,267.0,332.0,242.0,114.0,150.0,211.0,354.0,179.0,182.0,211.0,223.0,152.0,2617.0
31,United Kingdom,1578.0,2044.0,2571.0,2163.0,2251.0,2086.0,2868.0,2888.0,1840.0,2160.0,1806.0,1913.0,26168.0
32,Others - Europe,729.0,649.0,1067.0,1073.0,824.0,1096.0,2576.0,4616.0,1218.0,1076.0,789.0,589.0,16302.0
33,AMERICAS,1247.0,1548.0,1849.0,1504.0,1555.0,1833.0,1886.0,2237.0,1283.0,1553.0,1277.0,1379.0,19151.0
34,U.S.A.,641.0,732.0,994.0,673.0,771.0,938.0,1022.0,1093.0,695.0,759.0,614.0,707.0,9639.0
35,Canada,549.0,754.0,809.0,740.0,705.0,517.0,560.0,517.0,470.0,600.0,594.0,587.0,7402.0
36,Latin America,57.0,62.0,46.0,91.0,79.0,378.0,304.0,627.0,118.0,194.0,69.0,85.0,2110.0
37,OTHERS,2002.0,2909.0,2075.0,2176.0,2078.0,2108.0,2602.0,2650.0,2015.0,2930.0,2235.0,2789.0,28569.0
38,Total International,212125.0,235778.0,287171.0,262377.0,237068.0,263583.0,265713.0,297059.0,203461.0,181352.0,204578.0,312555.0,2962820.0
39,Total Malaysian,140858.0,162007.0,151779.0,163817.0,156278.0,140278.0,159740.0,153726.0,168043.0,143478.0,155254.0,173572.0,1868830.0
40,Semenanjung,79979.0,90073.0,89204.0,92277.0,91345.0,66739.0,94977.0,90055.0,95031.0,87181.0,91270.0,97412.0,1065543.0
41,Sabah,60879.0,71934.0,62575.0,71540.0,64933.0,73539.0,64763.0,63671.0,73012.0,56297.0,63984.0,76160.0,803287.0
42,TOTAL,352983.0,397785.0,438950.0,426194.0,393346.0,403861.0,425453.0,450785.0,371504.0,324830.0,359832.0,486127.0,4831650.0
43,"*Scandinavia : Region consists of  Norway, Sweden, Denmark & Finland",,,,,,,,,,,,,
44,"*Benelux : Region consists of  Belgium, Netherlands & Luxembourg",,,,,,,,,,,,,
45,Source :  Immigration Department of Malaysia (Sarawak),,,,,,,,,,,,,
