state,region,domestic_tourists_thousands,is_coastal,marine_focal_area
Johor,South Coast,11037.07,True,"Mersing, Pulau Tioman, Pulau Rawa"
Selangor,West Coast,24316.47,True,"Port Klang, Pulau Ketam"
W.P. Kuala Lumpur,Central,11689.99,False,Hub / Transit
Perak,West Coast,9614.9,True,"Pulau Pangkor, Lumut"
Sabah,Borneo,8878.08,True,"Semporna, Sipadan, Tun Sakaran Marine Park"
Pahang,East Coast,8468.59,True,"Pulau Tioman Marine Park, Cherating"
Sarawak,Borneo,5665.55,True,"Damai Beach, Bintulu, Miri Coral Reefs"
Kedah,North Coast,5289.11,True,"Pulau Langkawi, Pulau Payar Marine Park"
Pulau Pinang,North Coast,5241.36,True,"Batu Ferringhi, Teluk Bahang Marine Park"
Kelantan,East Coast,3877.92,True,"Pantai Cahaya Bulan, Tumpat"
Negeri Sembilan,West Coast,3773.98,True,Port Dickson
Melaka,South Coast,3457.44,True,"Pulau Besar, Tanjung Bidara"
Terengganu,East Coast,3105.59,True,"Pulau Redang, Pulau Perhentian, Pulau Kapas"
Perlis,North Coast,1261.11,True,Kuala Perlis Marine Hub
W.P. Putrajaya,Central,471.12,False,Government Center
W.P. Labuan,Borneo Offshore,379.21,True,Labuan Marine Park & Wreck Diving
